subclip,w-axis,x-axis,y-axis,z-axis
00008-08,2.6888766373291926,8.251626230328727,1.5057066971642379,2.2442252111734704
00008-09,1.2817124796452726,2.127437430731462,3.0378509700989698,1.340692020093466
00008-10,0.5335175332873419,2.451666432485613,0.5896620179659923,1.9524046338385495
00008-11,0.028327664849899837,0.8984937866010472,2.000221994830957,1.8730431839093582
00008-12,2.327423004271107,5.6688926973251625,1.5325394403830024,1.1208484044417817
00009-01,0.9398441622085932,1.0183690595404544,1.5482991368523207,0.5480431508326439
00009-02,1.8313614550764017,3.1616525678576597,1.264191466535879,1.3654042055549265
00009-03,2.4438580233473526,1.114975275143253,2.3365756529425985,1.1466539881248368
00009-04,2.2624238524596896,0.8494732560048656,1.051264975026277,0.9042075675413104
00009-05,0.6069233576873261,2.225025544101527,1.197703259069883,0.8797716766233179
00009-06,2.416643294527325,3.25467296622151,3.4038404917324616,0.8714816595937946
00009-07,0.8967641926074705,2.3189522523449617,2.2582723992826415,1.0164517664244017
00009-08,1.5559475393401845,0.7202620313709797,1.8934165719460885,0.4449241575776036
00009-09,0.7657226053199097,0.6619757321640057,1.1655529733866927,0.5355489227675468
00009-10,1.6016202954405487,0.7482699568363336,1.5925502788473558,0.4895224481135443
00009-11,2.4925720168478214,1.458414198422386,1.1878024759255852,0.39769704370010295
00009-12,3.1808052280780728,1.1020212502381372,1.3239546092102044,0.5287373414982404
00010-01,1.1220067342871423,0.7127103578165662,0.2709692492954517,1.5553218043924717
00010-02,5.869748606300032,6.970872422406639,8.060039963513951,3.4429927316724616
00010-03,1.807532615670989,2.2884296204548686,3.1747628446766467,0.9520295474121383
00010-04,4.7969280057119565,2.9886479100217382,3.008184393969263,1.224141379130662
00010-05,1.0505297857572053,2.0181306851891865,1.4318488881112357,0.7073627899668133
00010-06,2.4974734304786996,3.3785483789533184,4.383460409105641,1.2780228142171366
00010-07,1.1127219744679178,4.72889246432867,2.919484105486964,0.6038706454076828
00010-08,2.838466880827323,1.6375856244551221,0.9493002946250239,0.821846554055729
00010-09,0.9606318328255399,1.1729922805057267,1.7227225688063632,0.2749839833115195
00010-10,5.4271283891641975,1.4566747244766338,4.6328465215778785,1.7197253292868324
00010-11,2.191136661239343,1.3503224960645683,1.599828048328591,0.7972585617972417
00010-12,1.9113744383092979,1.4185141021937433,0.8389758901999624,0.4210622273095344
00011-01,4.238506896027517,2.7254509135760983,4.331312087284925,4.359314772578846
00011-02,5.28701999863182,6.214307765729579,7.782879452177126,6.2486378278971015
00011-03,2.82563914085321,3.3864890808036794,3.041241173402469,1.7933667947972638
00011-04,0.8214453072577012,2.9050223506801283,3.7219846623038206,2.8933763502131407
00011-05,1.478973379893305,1.5619507205856642,4.082552266881547,0.6694052811231969
00011-06,3.0176437277953485,1.739870684069197,1.7988394842606976,1.986868448158162
